Format,Start_Date,Start_Time,End_Date,End_Time,Title,Description,Location,Location_Url,Location_Details,All_Day_Event,Event_Type,Tags,Team1_ID,Team1_Is_Home,Team2_ID,Team2_Name,Custom_Opponent,Event_ID
SportsEngine,12/12/2024,6:00 PM,12/12/2024,8:00 PM,Neil at Barber,,Sheet B,,,0,Game,,24HF05,1,24HF07,,FALSE,562957941
SportsEngine,12/19/2024,8:30 PM,12/19/2024,10:30 PM,Unnirvin at Fuming Stones,,Sheet A,,,0,Game,,24HF03,1,24HF06,,FALSE,562957943
SportsEngine,12/19/2024,6:00 PM,12/19/2024,8:00 PM,Ice Breakers at Barber,,Sheet C,,,0,Game,,24HF05,1,24HF09,,FALSE,562957944
SportsEngine,12/19/2024,8:30 PM,12/19/2024,10:30 PM,Ordering Takeout at JAKE,,Sheet B,,,0,Game,,24HF02,1,24HF00,,FALSE,562957945
SportsEngine,12/19/2024,6:00 PM,12/19/2024,8:00 PM,Liske at Team 12,,Sheet B,,,0,Game,,24HF11,1,24HF01,,FALSE,562957946
SportsEngine,12/19/2024,6:00 PM,12/19/2024,8:00 PM,Standeven at Best Guess,,Sheet A,,,0,Game,,24HF04,1,24HF10,,FALSE,562957947
SportsEngine,12/19/2024,8:30 PM,12/19/2024,10:30 PM,Bueermann at Neil,,Sheet C,,,0,Game,,24HF07,1,24HF08,,FALSE,562957948
SportsEngine,1/2/2025,6:00 PM,1/2/2025,8:00 PM,Ordering Takeout at Neil,,Sheet A,,,0,Game,,24HF07,1,24HF00,,FALSE,562957949
SportsEngine,1/2/2025,6:00 PM,1/2/2025,8:00 PM,JAKE at Fuming Stones,,Sheet B,,,0,Game,,24HF03,1,24HF02,,FALSE,562957950
SportsEngine,1/2/2025,8:30 PM,1/2/2025,10:30 PM,Ice Breakers at Liske,,Sheet B,,,0,Game,,24HF01,1,24HF09,,FALSE,562957951
SportsEngine,1/2/2025,8:30 PM,1/2/2025,10:30 PM,Team 13 at Standeven,,Sheet C,,,0,Game,,24HF10,1,24HF12,,FALSE,562957952
SportsEngine,1/2/2025,6:00 PM,1/2/2025,8:00 PM,Unnirvin at Barber,,Sheet C,,,0,Game,,24HF05,1,24HF06,,FALSE,562957954
SportsEngine,1/2/2025,8:30 PM,1/2/2025,10:30 PM,Bueermann at Team 12,,Sheet A,,,0,Game,,24HF11,1,24HF08,,FALSE,562957955
